eq_id,time,value
A-02,06/18 10:30,31.1
A-02,06/18 10:00,27.7
A-02,06/18 11:30,30.6
A-02,06/18 11:00,32.0
A-02,06/18 12:30,28.2
A-02,06/18 12:00,36.1
A-02,06/18 13:30,37.1
A-02,06/18 13:00,31.6
A-02,06/18 14:30,37.4
A-02,06/18 14:00,35.6
A-02,06/18 15:30,32.4
A-02,06/18 15:00,40.3
A-02,06/18 16:30,35.5
A-02,06/18 16:00,37.9
A-02,06/18 17:30,41.3
A-02,06/18 17:00,39.5
A-02,06/18 18:30,41.4
A-02,06/18 18:00,39.6
A-02,06/18 19:30,46.6
A-02,06/18 19:00,47.8
A-02,06/18 20:30,48.7
A-02,06/18 20:00,49.1
A-02,06/18 21:30,50.8
A-02,06/18 21:00,52.0
A-02,06/18 22:30,51.3
A-02,06/18 22:00,49.4
A-02,06/18 23:30,51.4
A-02,06/18 23:00,55.6
A-02,06/19 00:30,58.4
A-02,06/19 00:00,55.0
A-02,06/19 01:30,57.3
A-02,06/19 01:00,63.3
A-02,06/19 02:30,64.1
A-02,06/19 02:00,63.2
A-02,06/19 03:30,63.1
A-02,06/19 03:00,66.6
A-02,06/19 04:30,68.2
A-02,06/19 04:00,69.6
A-02,06/19 05:30,73.5
A-02,06/19 05:00,69.9
A-02,06/19 06:30,73.4
A-02,06/19 06:00,73.3
A-02,06/19 07:30,75.7
A-02,06/19 07:00,76.5
A-02,06/19 08:30,78.2
A-02,06/19 08:00,81.2
A-02,06/19 09:30,83.6
A-02,06/19 09:00,87.3
A-02,06/19 10:30,87.0
B-03,06/18 10:30,29.1
B-03,06/18 10:00,28.3
B-03,06/18 11:30,27.9
B-03,06/18 11:00,28.6
B-03,06/18 12:30,33.2
B-03,06/18 12:00,30.3
B-03,06/18 13:30,34.5
B-03,06/18 13:00,33.6
B-03,06/18 14:30,32.2
B-03,06/18 14:00,33.7
B-03,06/18 15:30,33.5
B-03,06/18 15:00,30.6
B-03,06/18 16:30,37.4
B-03,06/18 16:00,32.8
B-03,06/18 17:30,33.1
B-03,06/18 17:00,39.5
B-03,06/18 18:30,37.0
B-03,06/18 18:00,42.8
B-03,06/18 19:30,39.1
B-03,06/18 19:00,37.9
B-03,06/18 20:30,45.1
B-03,06/18 20:00,41.6
B-03,06/18 21:30,43.0
B-03,06/18 21:00,48.7
B-03,06/18 22:30,43.9
B-03,06/18 22:00,45.4
B-03,06/18 23:30,51.0
B-03,06/18 23:00,49.9
B-03,06/19 00:30,52.7
B-03,06/19 00:00,50.9
B-03,06/19 01:30,57.6
B-03,06/19 01:00,56.0
B-03,06/19 02:30,59.7
B-03,06/19 02:00,55.3
B-03,06/19 03:30,56.5
B-03,06/19 03:00,56.6
B-03,06/19 04:30,64.0
B-03,06/19 04:00,59.0
B-03,06/19 05:30,62.1
B-03,06/19 05:00,65.9
B-03,06/19 06:30,64.1
B-03,06/19 06:00,67.7
B-03,06/19 07:30,71.4
B-03,06/19 07:00,74.0
B-03,06/19 08:30,70.3
B-03,06/19 08:00,76.3
B-03,06/19 09:30,77.8
B-03,06/19 09:00,77.5
B-03,06/19 10:30,78.0
A-01,06/18 10:30,40.5
A-01,06/18 10:00,39.0
A-01,06/18 11:30,34.6
A-01,06/18 11:00,38.1
A-01,06/18 12:30,40.4
A-01,06/18 12:00,35.5
A-01,06/18 13:30,39.3
A-01,06/18 13:00,38.1
A-01,06/18 14:30,41.1
A-01,06/18 14:00,43.7
A-01,06/18 15:30,40.1
A-01,06/18 15:00,39.0
A-01,06/18 16:30,44.6
A-01,06/18 16:00,39.2
A-01,06/18 17:30,43.1
A-01,06/18 17:00,46.5
A-01,06/18 18:30,46.4
A-01,06/18 18:00,43.9
A-01,06/18 19:30,43.6
A-01,06/18 19:00,41.8
A-01,06/18 20:30,41.1
A-01,06/18 20:00,47.5
A-01,06/18 21:30,43.9
A-01,06/18 21:00,49.9
A-01,06/18 22:30,48.5
A-01,06/18 22:00,50.0
A-01,06/18 23:30,45.2
A-01,06/18 23:00,46.5
A-01,06/19 00:30,46.6
A-01,06/19 00:00,48.1
A-01,06/19 01:30,52.7
A-01,06/19 01:00,52.3
A-01,06/19 02:30,50.5
A-01,06/19 02:00,48.5
A-01,06/19 03:30,53.0
A-01,06/19 03:00,55.6
A-01,06/19 04:30,55.9
A-01,06/19 04:00,57.7
A-01,06/19 05:30,55.6
A-01,06/19 05:00,53.1
A-01,06/19 06:30,55.5
A-01,06/19 06:00,56.7
A-01,06/19 07:30,55.3
A-01,06/19 07:00,59.6
A-01,06/19 08:30,60.3
A-01,06/19 08:00,62.9
A-01,06/19 09:30,63.5
A-01,06/19 09:00,58.4
A-01,06/19 10:30,62.0
C-02,06/18 10:30,31.1
C-02,06/18 10:00,26.3
C-02,06/18 11:30,26.3
C-02,06/18 11:00,28.3
C-02,06/18 12:30,31.6
C-02,06/18 12:00,30.6
C-02,06/18 13:30,32.0
C-02,06/18 13:00,27.9
C-02,06/18 14:30,29.4
C-02,06/18 14:00,28.2
C-02,06/18 15:30,29.0
C-02,06/18 15:00,30.3
C-02,06/18 16:30,28.4
C-02,06/18 16:00,31.3
C-02,06/18 17:30,28.3
C-02,06/18 17:00,34.0
C-02,06/18 18:30,33.8
C-02,06/18 18:00,31.9
C-02,06/18 19:30,31.9
C-02,06/18 19:00,31.6
C-02,06/18 20:30,29.9
C-02,06/18 20:00,29.2
C-02,06/18 21:30,28.1
C-02,06/18 21:00,31.7
C-02,06/18 22:30,34.1
C-02,06/18 22:00,31.2
C-02,06/18 23:30,33.2
C-02,06/18 23:00,30.6
C-02,06/19 00:30,35.3
C-02,06/19 00:00,31.4
C-02,06/19 01:30,29.0
C-02,06/19 01:00,33.7
C-02,06/19 02:30,30.7
C-02,06/19 02:00,29.7
C-02,06/19 03:30,29.3
C-02,06/19 03:00,35.0
C-02,06/19 04:30,30.1
C-02,06/19 04:00,36.3
C-02,06/19 05:30,36.8
C-02,06/19 05:00,36.2
C-02,06/19 06:30,36.4
C-02,06/19 06:00,36.6
C-02,06/19 07:30,32.3
C-02,06/19 07:00,37.2
C-02,06/19 08:30,31.3
C-02,06/19 08:00,35.4
C-02,06/19 09:30,37.4
C-02,06/19 09:00,31.0
C-02,06/19 10:30,34.0
