device,start,end,state
装置A,08:00,08:45,稼働
装置A,08:45,09:00,段取り替え
装置A,09:00,09:15,段取り替え
装置A,09:15,10:00,稼働
装置A,10:00,10:25,稼働
装置A,10:25,10:40,設備停止
装置A,10:40,11:25,稼働
装置A,11:25,11:35,その他
装置A,11:35,11:50,稼働
装置A,11:50,12:05,稼働
装置A,12:05,12:35,稼働
装置A,12:35,13:00,稼働
装置A,13:00,13:45,稼働
装置A,13:45,14:30,稼働
装置A,14:30,14:40,段取り替え
装置A,14:40,14:50,段取り替え
装置A,14:50,15:05,稼働
装置A,15:05,15:50,稼働
装置A,15:50,16:50,稼働
装置A,16:50,17:10,稼働
装置A,17:10,17:30,稼働
装置A,17:30,17:40,設備停止
装置A,17:40,18:40,稼働
装置A,18:40,19:05,稼働
装置A,19:05,19:20,段取り替え
装置A,19:20,19:35,その他
装置A,19:35,20:00,稼働
装置B,08:00,08:45,稼働
装置B,08:45,09:00,段取り替え
装置B,09:00,09:25,稼働
装置B,09:25,09:45,段取り替え
装置B,09:45,10:00,稼働
装置B,10:00,10:10,メンテナンス
装置B,10:10,11:10,稼働
装置B,11:10,11:25,メンテナンス
装置B,11:25,11:45,稼働
装置B,11:45,12:05,稼働
装置B,12:05,12:25,稼働
装置B,12:25,12:50,稼働
装置B,12:50,13:10,稼働
装置B,13:10,13:35,稼働
装置B,13:35,14:35,稼働
装置B,14:35,15:05,稼働
装置B,15:05,15:15,設備停止
装置B,15:15,15:30,段取り替え
装置B,15:30,15:45,稼働
装置B,15:45,16:45,稼働
装置B,16:45,17:45,稼働
装置B,17:45,17:55,その他
装置B,17:55,18:40,稼働
装置B,18:40,19:10,稼働
装置B,19:10,19:40,稼働
装置B,19:40,20:00,設備停止
装置C,08:00,09:00,稼働
装置C,09:00,09:25,稼働
装置C,09:25,10:10,稼働
装置C,10:10,10:25,設備停止
装置C,10:25,11:10,稼働
装置C,11:10,11:30,メンテナンス
装置C,11:30,11:40,その他
装置C,11:40,11:55,メンテナンス
装置C,11:55,12:20,稼働
装置C,12:20,12:35,稼働
装置C,12:35,12:55,その他
装置C,12:55,13:05,段取り替え
装置C,13:05,13:20,設備停止
装置C,13:20,13:35,メンテナンス
装置C,13:35,13:55,その他
装置C,13:55,14:15,段取り替え
装置C,14:15,14:30,段取り替え
装置C,14:30,14:40,その他
装置C,14:40,15:00,稼働
装置C,15:00,15:10,段取り替え
装置C,15:10,15:30,設備停止
装置C,15:30,16:00,稼働
装置C,16:00,16:30,稼働
装置C,16:30,16:50,設備停止
装置C,16:50,17:05,設備停止
装置C,17:05,17:25,設備停止
装置C,17:25,17:40,段取り替え
装置C,17:40,18:10,稼働
装置C,18:10,18:30,その他
装置C,18:30,18:45,段取り替え
装置C,18:45,19:15,稼働
装置C,19:15,19:30,稼働
装置C,19:30,19:55,稼働
装置C,19:55,20:00,稼働
装置D,08:00,08:15,メンテナンス
装置D,08:15,08:25,設備停止
装置D,08:25,08:45,稼働
装置D,08:45,09:05,その他
装置D,09:05,10:05,稼働
装置D,10:05,10:50,稼働
装置D,10:50,11:15,稼働
装置D,11:15,11:30,稼働
装置D,11:30,11:55,稼働
装置D,11:55,12:10,メンテナンス
装置D,12:10,12:20,その他
装置D,12:20,13:05,稼働
装置D,13:05,13:25,稼働
装置D,13:25,13:50,稼働
装置D,13:50,14:20,稼働
装置D,14:20,14:50,稼働
装置D,14:50,15:10,稼働
装置D,15:10,15:25,稼働
装置D,15:25,15:45,段取り替え
装置D,15:45,16:45,稼働
装置D,16:45,17:15,稼働
装置D,17:15,18:15,稼働
装置D,18:15,18:45,稼働
装置D,18:45,19:00,段取り替え
装置D,19:00,19:15,段取り替え
装置D,19:15,19:25,その他
装置D,19:25,19:35,メンテナンス
装置D,19:35,19:50,段取り替え
装置D,19:50,20:00,段取り替え
