eq_id,time,value
A-02,05/24 00:00,27.0
A-02,05/24 02:00,28.5
A-02,05/24 04:00,21.2
A-02,05/24 06:00,23.6
A-02,05/24 08:00,36.0
A-02,05/24 10:00,39.1
A-02,05/24 12:00,31.6
A-02,05/24 14:00,40.7
A-02,05/24 16:00,37.5
A-02,05/24 18:00,43.5
A-02,05/24 20:00,43.2
A-02,05/24 22:00,46.3
A-02,05/25 00:00,41.2
A-02,05/25 02:00,29.6
A-02,05/25 04:00,39.5
A-02,05/25 06:00,39.4
A-02,05/25 08:00,33.0
A-02,05/25 10:00,41.2
A-02,05/25 12:00,45.6
A-02,05/25 14:00,38.9
A-02,05/25 16:00,31.7
A-02,05/25 18:00,36.1
A-02,05/25 20:00,47.5
A-02,05/25 22:00,42.0
A-02,05/26 00:00,35.5
A-02,05/26 02:00,35.5
A-02,05/26 04:00,41.0
A-02,05/26 06:00,38.1
A-02,05/26 08:00,47.6
A-02,05/26 10:00,48.8
A-02,05/26 12:00,54.4
A-02,05/26 14:00,46.9
A-02,05/26 16:00,57.4
A-02,05/26 18:00,63.3
A-02,05/26 20:00,61.8
A-02,05/26 22:00,51.9
A-02,05/27 00:00,46.1
A-02,05/27 02:00,44.3
A-02,05/27 04:00,51.8
A-02,05/27 06:00,61.4
A-02,05/27 08:00,68.0
A-02,05/27 10:00,65.3
A-02,05/27 12:00,67.6
A-02,05/27 14:00,57.3
A-02,05/27 16:00,65.0
A-02,05/27 18:00,64.9
A-02,05/27 20:00,72.5
A-02,05/27 22:00,66.7
A-02,05/28 00:00,64.4
A-02,05/28 02:00,74.0
A-02,05/28 04:00,75.2
A-02,05/28 06:00,80.2
A-02,05/28 08:00,82.4
A-02,05/28 10:00,78.6
A-02,05/28 12:00,80.4
A-02,05/28 14:00,73.8
A-02,05/28 16:00,75.0
A-02,05/28 18:00,76.8
A-02,05/28 20:00,79.0
A-02,05/28 22:00,87.0
B-03,05/24 00:00,38.2
B-03,05/24 02:00,41.1
B-03,05/24 04:00,32.1
B-03,05/24 06:00,47.0
B-03,05/24 08:00,46.6
B-03,05/24 10:00,51.0
B-03,05/24 12:00,41.9
B-03,05/24 14:00,37.9
B-03,05/24 16:00,46.3
B-03,05/24 18:00,46.1
B-03,05/24 20:00,53.3
B-03,05/24 22:00,42.5
B-03,05/25 00:00,53.9
B-03,05/25 02:00,58.2
B-03,05/25 04:00,58.5
B-03,05/25 06:00,56.4
B-03,05/25 08:00,52.1
B-03,05/25 10:00,44.8
B-03,05/25 12:00,58.2
B-03,05/25 14:00,50.1
B-03,05/25 16:00,50.9
B-03,05/25 18:00,59.8
B-03,05/25 20:00,52.5
B-03,05/25 22:00,42.4
B-03,05/26 00:00,37.8
B-03,05/26 02:00,54.0
B-03,05/26 04:00,61.9
B-03,05/26 06:00,60.9
B-03,05/26 08:00,62.8
B-03,05/26 10:00,60.3
B-03,05/26 12:00,51.9
B-03,05/26 14:00,42.6
B-03,05/26 16:00,38.6
B-03,05/26 18:00,53.0
B-03,05/26 20:00,56.1
B-03,05/26 22:00,61.6
B-03,05/27 00:00,68.9
B-03,05/27 02:00,68.6
B-03,05/27 04:00,56.5
B-03,05/27 06:00,50.9
B-03,05/27 08:00,66.8
B-03,05/27 10:00,72.9
B-03,05/27 12:00,66.2
B-03,05/27 14:00,60.9
B-03,05/27 16:00,62.1
B-03,05/27 18:00,64.8
B-03,05/27 20:00,71.1
B-03,05/27 22:00,62.7
B-03,05/28 00:00,69.3
B-03,05/28 02:00,81.7
B-03,05/28 04:00,84.2
B-03,05/28 06:00,87.1
B-03,05/28 08:00,70.5
B-03,05/28 10:00,74.5
B-03,05/28 12:00,85.9
B-03,05/28 14:00,88.7
B-03,05/28 16:00,91.8
B-03,05/28 18:00,77.0
B-03,05/28 20:00,77.7
B-03,05/28 22:00,78.0
A-01,05/24 00:00,52.4
A-01,05/24 02:00,49.3
A-01,05/24 04:00,60.8
A-01,05/24 06:00,51.9
A-01,05/24 08:00,47.1
A-01,05/24 10:00,45.6
A-01,05/24 12:00,56.5
A-01,05/24 14:00,66.9
A-01,05/24 16:00,69.2
A-01,05/24 18:00,55.0
A-01,05/24 20:00,66.6
A-01,05/24 22:00,63.4
