time,value
05/18 10:30,0.224
05/18 10:00,0.285
05/18 11:30,0.297
05/18 11:00,0.263
05/18 12:30,0.307
05/18 12:00,0.334
05/18 13:30,0.337
05/18 13:00,0.286
05/18 14:30,0.241
05/18 14:00,0.214
05/18 15:30,0.603
05/18 15:00,0.982
05/18 16:30,0.963
05/18 16:00,0.568
05/18 17:30,0.115
05/18 17:00,0.153
05/18 18:30,0.114
05/18 18:00,0.169
05/18 19:30,0.119
05/18 19:00,0.182
05/18 20:30,0.172
05/18 20:00,0.239
05/18 21:30,0.194
05/18 21:00,0.28
05/18 22:30,0.3
05/18 22:00,0.27
05/18 23:30,0.311
05/18 23:00,0.334
05/19 00:30,0.334
05/19 00:00,0.297
05/19 01:30,0.257
05/19 01:00,0.256
05/19 02:30,0.253
05/19 02:00,0.168
05/19 03:30,0.175
05/19 03:00,0.168
05/19 04:30,0.111
05/19 04:00,0.103
05/19 05:30,0.135
05/19 05:00,0.132
05/19 06:30,0.138
05/19 06:00,0.175
05/19 07:30,0.237
05/19 07:00,0.19
05/19 08:30,0.293
05/19 08:00,0.268
05/19 09:30,0.262
05/19 09:00,0.285
05/19 10:30,0.303
