time,anomaly_score,torque,rotation,motor_current,temperature
05/18 10:30,17.3,36.7,52.6,32.0,69.0
05/18 10:00,21.6,40.1,58.3,33.0,72.4
05/18 11:30,20.2,39.4,59.2,32.9,73.9
05/18 11:00,23.1,38.7,58.5,32.7,69.2
05/18 12:30,23.1,44.4,60.4,28.4,74.4
05/18 12:00,25.0,42.7,62.6,33.1,72.1
05/18 13:30,28.4,45.1,59.6,33.7,69.6
05/18 13:00,25.9,44.7,58.6,30.7,69.7
05/18 14:30,28.1,45.2,59.4,34.8,73.3
05/18 14:00,29.7,45.5,61.1,30.7,70.9
05/18 15:30,30.6,43.8,59.6,31.2,67.3
05/18 15:00,31.1,45.8,60.9,31.9,67.9
05/18 16:30,34.2,44.1,58.9,34.3,67.8
05/18 16:00,34.7,46.8,59.8,34.6,69.4
05/18 17:30,34.1,48.2,56.2,34.1,68.5
05/18 17:00,36.2,46.7,55.5,37.1,68.5
05/18 18:30,36.6,51.5,53.5,37.0,62.2
05/18 18:00,33.7,50.5,55.6,33.1,63.6
05/18 19:30,38.3,53.0,54.6,34.8,61.4
05/18 19:00,40.7,53.2,54.5,39.3,62.4
05/18 20:30,36.7,52.7,50.3,36.2,60.6
05/18 20:00,38.0,53.5,50.9,34.7,62.5
05/18 21:30,39.0,57.1,49.4,38.9,61.8
05/18 21:00,40.6,55.0,51.7,38.8,56.0
05/18 22:30,43.4,56.0,49.5,36.1,60.6
05/18 22:00,42.6,55.0,50.8,37.5,58.3
05/18 23:30,41.6,57.5,48.6,37.9,59.2
05/18 23:00,46.1,60.9,50.2,40.7,58.1
05/19 00:30,46.2,54.6,50.9,37.2,57.6
05/19 00:00,48.6,56.7,53.4,38.5,55.9
05/19 01:30,50.6,58.0,49.2,43.0,54.0
05/19 01:00,48.8,56.6,52.7,40.8,55.5
05/19 02:30,52.2,58.8,52.7,40.2,57.6
05/19 02:00,53.0,58.3,57.0,43.7,53.8
05/19 03:30,49.1,63.7,58.1,42.5,54.8
05/19 03:00,52.7,66.4,55.1,39.1,57.5
05/19 04:30,54.4,60.2,55.3,41.2,58.4
05/19 04:00,53.8,61.8,58.2,40.2,56.8
05/19 05:30,58.4,68.9,61.4,41.8,62.8
05/19 05:00,60.2,66.7,57.5,44.4,59.7
05/19 06:30,60.4,72.7,63.6,45.2,64.5
05/19 06:00,61.7,72.6,60.1,41.6,60.9
05/19 07:30,65.6,76.0,59.8,44.5,63.7
05/19 07:00,74.0,77.3,60.3,43.0,67.4
05/19 08:30,76.4,80.8,63.5,43.7,63.5
05/19 08:00,78.0,80.1,57.0,47.4,66.7
05/19 09:30,83.5,84.9,57.0,47.6,65.3
05/19 09:00,88.7,89.4,56.5,47.1,68.8
05/19 10:30,85.0,86.8,57.1,43.9,67.3
