time,line1,line2,line3,line4,all
00:00,85.4,79.3,90.7,83.5,91.7
00:20,88.4,80.7,90.5,82.6,92.3
00:40,90.2,83.1,92.2,80.2,94.5
01:00,88.5,80.2,91.1,78.9,94.4
01:20,84.4,78.0,88.7,83.2,91.1
01:40,81.6,79.4,92.3,81.3,90.7
02:00,80.7,77.8,92.8,80.5,92.7
02:20,80.7,75.6,95.1,79.6,94.0
02:40,84.2,74.1,93.3,77.5,91.2
03:00,86.1,76.0,90.1,79.6,90.9
03:20,87.8,74.1,89.7,81.3,88.9
03:40,85.3,76.5,88.3,84.2,88.1
04:00,81.1,76.8,86.6,86.4,91.1
04:20,81.1,73.2,86.4,84.9,93.0
04:40,82.4,73.4,87.1,86.3,90.4
05:00,84.1,70.5,87.7,85.2,89.4
05:20,84.8,70.7,87.6,83.0,88.0
05:40,83.4,73.6,87.4,84.1,87.2
06:00,80.2,73.7,87.6,85.3,89.0
06:20,78.3,74.2,88.8,80.6,85.2
06:40,79.3,75.2,90.8,76.4,84.1
07:00,82.5,75.4,91.0,78.4,83.5
07:20,79.5,76.9,89.1,80.9,85.5
07:40,82.1,78.7,87.7,78.6,86.2
08:00,82.9,80.5,87.9,77.2,88.0
08:20,82.0,80.4,89.8,74.3,84.4
08:40,81.3,81.5,85.9,74.1,82.5
09:00,81.9,78.4,83.0,75.8,83.9
09:20,83.4,77.1,82.6,74.0,86.7
09:40,84.5,74.9,81.6,72.2,83.3
10:00,82.7,79.0,81.9,75.2,86.3
10:20,84.4,79.4,82.4,75.7,84.7
10:40,83.5,78.2,83.0,76.7,87.5
11:00,84.4,79.2,85.1,78.3,86.1
11:20,87.7,82.5,86.7,81.2,85.5
11:40,89.3,83.7,86.0,80.3,85.2
12:00,90.3,83.9,82.5,83.2,87.6
12:20,92.1,86.5,82.3,82.5,88.9
12:40,90.2,86.3,85.4,81.7,86.4
13:00,90.1,85.3,86.9,82.4,86.9
13:20,91.9,81.2,88.1,83.6,89.7
13:40,90.8,83.0,86.9,83.0,88.8
14:00,92.0,85.9,87.7,85.9,88.5
14:20,90.6,82.4,87.8,87.6,87.9
14:40,87.8,84.2,85.5,89.2,85.7
15:00,87.0,83.8,87.2,90.9,87.0
15:20,88.1,79.7,89.6,89.1,88.5
15:40,86.4,82.1,86.9,86.3,91.4
16:00,84.1,78.7,88.7,85.9,91.3
16:20,83.4,75.3,90.9,88.0,88.4
16:40,82.8,78.3,91.5,86.8,88.1
17:00,85.5,79.3,91.5,87.8,85.7
17:20,87.3,80.3,89.0,89.4,86.9
17:40,84.7,81.6,91.5,84.9,87.0
18:00,83.1,82.2,88.7,82.5,87.6
18:20,79.4,83.1,92.3,80.5,86.8
18:40,80.0,82.6,90.7,78.2,87.1
19:00,82.5,82.5,92.5,76.1,87.9
19:20,81.1,79.5,90.1,77.9,89.5
19:40,83.6,81.1,87.4,76.2,90.4
20:00,82.9,81.5,86.9,77.6,86.3
20:20,79.0,82.0,85.0,75.3,85.5
20:40,79.7,76.8,85.7,74.4,84.9
21:00,81.6,74.7,87.8,76.5,85.4
21:20,79.0,72.4,86.8,74.0,85.3
21:40,80.1,73.6,86.7,76.1,86.2
22:00,77.4,74.0,86.9,74.3,85.4
22:20,80.2,72.3,89.5,76.8,85.3
22:40,78.5,75.4,87.1,77.6,87.3
23:00,76.8,78.4,86.2,75.7,84.7
23:20,79.6,78.9,86.8,79.2,86.5
23:40,82.1,76.1,86.8,78.0,86.7
24:00,85.7,74.7,85.2,78.8,89.0
