hour,line1,line2,line3,line4,cumulative_actual,target
0,15,14,17,9,2809,6375
1,1,7,14,5,6729,12750
2,12,14,23,8,11564,19125
3,20,7,18,8,17125,25500
4,11,8,22,4,23240,31875
5,18,3,12,6,29766,38250
6,14,4,17,4,36594,44625
7,18,9,17,10,43648,51000
8,16,14,16,12,50887,57375
9,13,8,13,4,58297,63750
10,20,9,19,7,65881,70125
11,11,19,23,4,73651,76500
12,19,5,18,8,81615,82875
13,18,13,17,13,89764,89250
14,14,11,22,10,98062,95625
15,16,13,25,10,106442,102000
16,17,10,20,8,114793,108375
17,14,11,21,13,122968,114750
18,15,12,17,5,130782,121125
19,13,7,14,12,138018,127500
20,21,12,17,11,144441,133875
21,14,13,11,10,149808,140250
22,24,12,14,4,152000,146625
23,5,8,16,12,152000,153000
