icon,x,y,count,count_style,label,label_x,label_y
car,30,200,0,badge,,0,0
alert,30,510,0,badge,,0,0
m5,22,590,0,badge,,0,0
car,270,380,0,badge,,0,0
alert,265,640,0,badge,,0,0
m4,270,745,12,count,,0,0
car,905,55,0,badge,,0,0
alert,985,55,0,badge,,0,0
car,1065,55,0,badge,,0,0
car,905,220,0,badge,,0,0
alert,985,220,0,badge,,0,0
car,1065,220,0,badge,,0,0
car,755,287,0,badge,,0,0
alert,838,287,0,badge,,0,0
car,985,287,0,badge,,0,0
car,820,385,0,badge,,0,0
car,1015,385,0,badge,,0,0
car,740,505,0,badge,L/R,748,530
car,590,530,0,badge,,0,0
car,745,605,0,badge,B/R,750,636
car,600,640,0,badge,,0,0
car,745,662,0,badge,UP/R,750,691
alert,595,715,0,badge,,0,0
car,745,810,0,badge,IN/OUT,750,836
car,600,810,0,badge,,0,0
alert,870,810,0,badge,,0,0
