id,label,x,y,w,h,state,label_y,produced,produced_y,car
bs,B/S,95,185,65,425,green,405,152,505,0
mb_red,M/B,340,345,60,430,red,535,152,635,1
mb_green,M/B,668,493,58,340,green,660,152,710,0
ub,U/B,698,312,364,60,green,324,152,342,0
sim1,S-IM-1,908,85,210,55,green,97,152,115,0
sim2,S-IM-2,908,150,210,55,grey,162,152,180,0
sim1b,,1145,85,180,55,green,0,,0,0
sim2b,,1145,150,180,55,grey,0,,0,0
ff,F/F,1207,320,73,160,red,348,152,430,0
fb,F/B,1285,435,80,78,red,462,,0,0
ec,E/C,965,512,60,123,red,537,152,605,0
ec2,E/C,1027,560,79,100,red,580,,0,0
fsm,F/SM,1027,660,79,40,grey,680,,0,0
ur,U/R,883,625,60,170,red,703,152,733,0
ur2,U/R,957,815,90,80,grey,835,,0,0
cfrf,C/F|R/F,1083,815,90,80,red,833,,0,0
tall,,1262,570,56,255,green,0,,0,0
