series,x,y
blue,0.04,0.541
blue,0.04,0.7232
blue,0.04,0.564
blue,0.04,0.6356
blue,0.04,0.5964
blue,0.04,0.5542
blue,0.04,0.9055
blue,0.0417,0.7035
blue,0.0478,0.7145
blue,0.0492,0.8964
blue,0.0584,0.5314
blue,0.0598,0.6493
blue,0.0665,0.5723
blue,0.0689,0.595
blue,0.08,0.521
blue,0.0836,0.5661
blue,0.0897,0.9276
blue,0.0944,0.6871
blue,0.0978,0.8318
blue,0.1066,0.5212
blue,0.1109,0.577
blue,0.1194,0.6704
blue,0.1252,0.7217
blue,0.1247,0.6774
blue,0.1331,0.703
blue,0.1357,0.7285
blue,0.145,0.6636
blue,0.15,0.6605
blue,0.1586,0.5356
blue,0.1643,0.6598
blue,0.1639,0.5683
blue,0.1729,0.6644
blue,0.1761,0.5745
blue,0.1876,0.6346
blue,0.1875,0.9131
blue,0.1941,0.541
blue,0.1983,0.6824
blue,0.2039,0.6081
blue,0.212,0.6394
blue,0.2201,0.5583
blue,0.2259,0.7156
blue,0.2276,0.5195
blue,0.2309,0.637
blue,0.2378,0.6832
blue,0.2494,0.5016
blue,0.2478,0.4936
blue,0.2602,0.6083
blue,0.261,0.7486
blue,0.2706,0.5303
blue,0.2748,0.5025
blue,0.2773,0.7474
blue,0.281,0.603
blue,0.2873,0.6769
blue,0.2948,0.4943
blue,0.3019,0.5522
blue,0.3113,0.5265
blue,0.311,0.5742
blue,0.3185,0.7311
blue,0.3251,0.6848
blue,0.3318,0.5034
blue,0.3332,0.7255
blue,0.3427,0.6986
blue,0.3461,0.5144
blue,0.3503,0.6846
blue,0.3541,0.819
blue,0.3616,0.5088
blue,0.3662,0.6945
blue,0.3721,0.7426
blue,0.3775,0.6205
blue,0.3879,0.7427
blue,0.3914,0.5459
blue,0.3946,0.6383
blue,0.4059,0.628
blue,0.4045,0.5519
blue,0.416,0.5846
blue,0.4192,0.5977
blue,0.4268,0.4989
blue,0.4271,0.6649
blue,0.4358,0.7231
blue,0.4394,0.495
blue,0.4483,0.6035
blue,0.4496,0.5413
blue,0.4594,0.6593
blue,0.4631,0.8176
blue,0.4697,0.681
blue,0.4778,0.574
blue,0.4773,0.557
blue,0.4879,0.6046
blue,0.4942,0.6991
blue,0.4945,0.7383
blue,0.5046,0.5289
blue,0.5107,0.6842
blue,0.5114,0.5818
blue,0.5188,0.5875
blue,0.5277,0.5393
blue,0.5337,0.617
blue,0.5363,0.6814
blue,0.538,0.6268
blue,0.5496,0.5778
blue,0.5537,0.7369
blue,0.5562,0.5392
blue,0.5607,0.7397
blue,0.572,0.6318
blue,0.5723,0.612
blue,0.5803,0.7445
blue,0.5835,0.5968
blue,0.5937,0.731
blue,0.6016,0.5397
blue,0.6034,0.7417
blue,0.6112,0.4988
blue,0.6148,0.5883
blue,0.6225,0.6368
blue,0.6258,0.6207
blue,0.6283,0.5412
blue,0.6367,0.6138
blue,0.6443,0.6627
blue,0.6474,0.6413
blue,0.6542,0.7122
blue,0.6624,0.644
blue,0.6683,0.521
blue,0.6734,0.674
blue,0.6751,0.5314
blue,0.6822,0.7102
blue,0.6899,0.6649
blue,0.6964,0.5939
blue,0.7004,0.498
blue,0.7039,0.495
blue,0.71,0.6331
blue,0.7131,0.6476
blue,0.7204,0.7156
blue,0.725,0.9361
blue,0.731,0.5536
blue,0.7365,0.5434
blue,0.7404,0.6687
blue,0.7468,0.5604
blue,0.7565,0.6739
blue,0.7603,0.5265
blue,0.7644,0.6379
blue,0.7739,0.5808
blue,0.7782,0.5533
blue,0.7847,0.6836
blue,0.7861,0.6765
blue,0.7971,0.7235
blue,0.7959,0.6792
blue,0.8035,0.653
blue,0.8098,0.7064
blue,0.8194,0.6274
blue,0.8232,0.4723
blue,0.8304,0.6169
blue,0.8363,0.6335
blue,0.8402,0.4028
blue,0.8447,0.612
blue,0.85,0.4539
blue,0.8563,0.4821
blue,0.8638,0.4039
blue,0.869,0.5792
blue,0.87,0.5702
blue,0.8795,0.5652
blue,0.8846,0.5304
blue,0.8863,0.3387
blue,0.8955,0.4157
blue,0.901,0.485
blue,0.9066,0.2998
blue,0.9133,0.447
blue,0.9202,0.3187
blue,0.9216,0.535
blue,0.9234,0.3604
blue,0.9352,0.2397
