time,value
05/18 10:30,0.419
05/18 10:45,0.177
05/18 11:00,0.214
05/18 11:15,0.415
05/18 11:30,0.391
05/18 11:45,0.185
05/18 12:00,0.23
05/18 12:15,0.214
05/18 12:30,0.325
05/18 12:45,0.195
05/18 13:00,0.422
05/18 13:15,0.221
05/18 13:30,0.347
05/18 13:45,0.218
05/18 14:00,0.375
05/18 14:15,0.293
05/18 14:30,0.36
05/18 14:45,0.333
05/18 15:00,0.62
05/18 15:15,0.392
05/18 15:30,0.265
05/18 15:45,0.311
05/18 16:00,0.293
05/18 16:15,0.398
05/18 16:30,0.171
05/18 16:45,0.304
05/18 17:00,0.226
05/18 17:15,0.32
05/18 17:30,0.219
05/18 17:45,0.327
05/18 18:00,0.272
05/18 18:15,0.279
05/18 18:30,0.178
05/18 18:45,0.282
05/18 19:00,0.296
05/18 19:15,0.402
05/18 19:30,0.368
05/18 19:45,0.297
05/18 20:00,0.177
05/18 20:15,0.338
05/18 20:30,0.325
05/18 20:45,0.656
05/18 21:00,0.288
05/18 21:15,0.267
05/18 21:30,0.345
05/18 21:45,0.246
05/18 22:00,0.185
05/18 22:15,0.368
05/18 22:30,0.296
05/18 22:45,0.302
05/18 23:00,0.213
05/18 23:15,0.403
05/18 23:30,0.318
05/18 23:45,0.428
05/19 00:00,0.317
05/19 00:15,0.399
05/19 00:30,0.264
05/19 00:45,0.422
05/19 01:00,0.187
05/19 01:15,0.371
05/19 01:30,0.381
05/19 01:45,0.312
05/19 02:00,0.385
05/19 02:15,0.92
05/19 02:30,0.337
05/19 02:45,0.394
05/19 03:00,0.218
05/19 03:15,0.388
05/19 03:30,0.196
05/19 03:45,0.236
05/19 04:00,0.36
05/19 04:15,0.339
05/19 04:30,0.336
05/19 04:45,0.402
05/19 05:00,0.37
05/19 05:15,0.28
05/19 05:30,0.232
05/19 05:45,0.659
05/19 06:00,0.315
05/19 06:15,0.261
05/19 06:30,0.41
05/19 06:45,0.39
05/19 07:00,0.361
05/19 07:15,0.311
05/19 07:30,0.371
05/19 07:45,0.407
05/19 08:00,0.239
05/19 08:15,0.39
05/19 08:30,0.239
05/19 08:45,0.279
05/19 09:00,0.222
05/19 09:15,0.206
05/19 09:30,0.369
05/19 09:45,0.213
05/19 10:00,0.198
05/19 10:15,0.394
05/19 10:30,0.225
