date,value
05/13,29.4
05/13,22.3
05/13,24.1
05/13,21.7
05/13,26.3
05/13,28.6
05/13,22.8
05/13,28.0
05/14,26.3
05/14,23.9
05/14,27.3
05/14,28.5
05/14,30.9
05/14,33.8
05/14,33.6
05/14,35.5
05/15,37.1
05/15,32.0
05/15,31.4
05/15,33.4
05/15,35.1
05/15,36.9
05/15,40.1
05/15,42.1
05/16,43.8
05/16,41.5
05/16,45.6
05/16,49.2
05/16,49.1
05/16,47.4
05/16,47.7
05/16,51.7
05/17,48.0
05/17,55.1
05/17,57.6
05/17,53.0
05/17,58.8
05/17,54.2
05/17,60.3
05/17,62.8
05/18,59.2
05/18,60.2
05/18,62.5
05/18,63.0
05/18,69.3
05/18,65.9
05/18,67.1
05/18,73.6
05/19,72.9
05/19,72.3
05/19,80.0
05/19,78.4
05/19,76.9
05/19,77.9
05/19,79.8
05/19,85.0
