time,value
05/18 10:30,33.6
05/18 11:00,24.9
05/18 11:30,36.8
05/18 12:00,33.0
05/18 12:30,33.3
05/18 13:00,33.6
05/18 13:30,33.4
05/18 14:00,38.5
05/18 14:30,37.2
05/18 15:00,42.0
05/18 15:30,36.6
05/18 16:00,33.5
05/18 16:30,34.4
05/18 17:00,38.8
05/18 17:30,45.2
05/18 18:00,46.8
05/18 18:30,39.6
05/18 19:00,41.5
05/18 19:30,43.3
05/18 20:00,50.2
05/18 20:30,43.7
05/18 21:00,52.6
05/18 21:30,47.2
05/18 22:00,48.3
05/18 22:30,56.1
05/18 23:00,55.4
05/18 23:30,50.7
05/19 00:00,56.8
05/19 00:30,59.7
05/19 01:00,60.4
05/19 01:30,57.8
05/19 02:00,57.1
05/19 02:30,67.1
05/19 03:00,67.3
05/19 03:30,66.0
05/19 04:00,70.8
05/19 04:30,71.2
05/19 05:00,69.2
05/19 05:30,68.5
05/19 06:00,77.7
05/19 06:30,75.5
05/19 07:00,76.4
05/19 07:30,71.3
05/19 08:00,77.6
05/19 08:30,82.9
05/19 09:00,75.4
05/19 09:30,82.5
05/19 10:00,86.9
05/19 10:30,85.0
