time,anomaly_score,discharge_pressure,current_oc,motor_current,temperature
05/18 10:30,8.0,8.0,8.0,8.0,8.0
05/18 10:45,5.1,9.0,9.0,7.8,13.7
05/18 11:00,3.2,10.4,11.1,9.4,16.1
05/18 11:15,4.5,10.6,9.2,8.0,17.5
05/18 11:30,5.7,9.3,9.2,9.9,14.4
05/18 11:45,3.4,6.7,12.3,8.2,16.1
05/18 12:00,4.8,10.2,9.9,8.9,14.3
05/18 12:15,7.0,6.2,11.2,10.6,17.6
05/18 12:30,4.9,6.8,10.3,8.0,13.5
05/18 12:45,4.0,6.8,11.2,7.7,15.4
05/18 13:00,7.5,9.3,11.3,8.6,13.7
05/18 13:15,4.1,10.2,10.3,8.2,14.0
05/18 13:30,4.6,7.4,10.3,9.7,18.0
05/18 13:45,3.2,8.5,13.2,10.6,17.4
05/18 14:00,7.8,10.0,12.4,8.0,15.8
05/18 14:15,3.7,7.4,13.3,8.1,16.1
05/18 14:30,5.8,7.0,14.2,9.0,17.1
05/18 14:45,5.7,11.0,11.9,9.6,14.9
05/18 15:00,8.4,8.1,11.8,7.4,17.1
05/18 15:15,8.9,7.7,11.3,10.3,15.9
05/18 15:30,4.1,11.6,12.3,10.6,15.2
05/18 15:45,4.0,8.4,12.6,9.3,17.5
05/18 16:00,3.3,7.9,11.7,8.2,15.3
05/18 16:15,5.3,10.0,13.3,7.8,14.6
05/18 16:30,3.8,9.1,11.6,10.8,16.2
05/18 16:45,8.2,11.1,12.9,10.0,17.1
05/18 17:00,5.5,11.1,12.6,8.2,18.3
05/18 17:15,3.3,8.7,14.0,9.9,15.3
05/18 17:30,4.1,12.5,14.9,8.4,13.4
05/18 17:45,3.8,11.9,11.1,7.2,16.3
05/18 18:00,3.2,12.6,12.2,9.1,14.7
05/18 18:15,8.8,12.1,12.2,7.3,13.6
05/18 18:30,6.9,10.5,12.2,7.5,15.1
05/18 18:45,4.8,9.0,11.1,7.1,13.4
05/18 19:00,6.3,11.2,13.4,9.1,17.3
05/18 19:15,8.5,8.4,13.8,10.0,16.4
05/18 19:30,5.0,10.2,12.6,7.6,15.7
05/18 19:45,5.6,12.9,13.3,7.3,13.8
05/18 20:00,3.1,9.9,11.0,8.2,15.0
05/18 20:15,6.3,10.2,12.9,8.3,16.1
05/18 20:30,7.7,9.5,12.9,7.4,14.8
05/18 20:45,7.4,11.4,12.7,8.6,17.2
05/18 21:00,7.5,13.7,13.3,9.6,13.3
05/18 21:15,4.7,9.7,9.5,8.4,17.0
05/18 21:30,3.3,12.0,12.0,7.1,16.6
05/18 21:45,6.5,14.1,11.8,8.3,14.0
05/18 22:00,3.3,10.8,10.1,8.3,16.3
05/18 22:15,8.3,11.2,9.3,8.5,14.9
05/18 22:30,3.6,9.6,11.7,7.6,15.1
05/18 22:45,7.0,12.0,10.7,9.4,14.8
05/18 23:00,8.1,10.4,9.7,8.3,12.4
05/18 23:15,4.0,10.0,10.0,10.1,15.6
05/18 23:30,8.5,14.2,8.2,10.0,14.5
05/18 23:45,7.9,14.3,9.5,8.6,11.4
05/19 00:00,8.8,14.9,8.0,7.5,14.5
05/19 00:15,4.3,11.2,9.7,7.7,15.5
05/19 00:30,5.6,14.6,9.0,7.4,15.3
05/19 00:45,4.4,14.9,9.2,9.6,13.4
05/19 01:00,8.2,13.8,6.7,7.7,12.7
05/19 01:15,5.7,10.7,7.8,10.6,12.9
05/19 01:30,8.4,11.6,10.2,9.1,10.7
05/19 01:45,5.6,11.8,8.2,7.9,12.3
05/19 02:00,6.0,13.8,8.8,8.1,10.7
05/19 02:15,8.9,13.5,7.5,10.2,14.7
05/19 02:30,7.0,13.4,7.0,9.3,14.5
05/19 02:45,3.2,14.0,6.0,9.3,10.3
05/19 03:00,6.1,11.1,6.8,10.7,11.8
05/19 03:15,4.3,11.4,8.4,9.9,13.8
05/19 03:30,7.7,13.6,6.5,8.2,12.9
05/19 03:45,4.1,12.9,7.2,9.2,11.7
05/19 04:00,6.9,15.2,7.2,10.0,13.5
05/19 04:15,7.2,15.4,9.0,10.6,11.1
05/19 04:30,5.5,14.4,5.2,8.0,10.6
05/19 04:45,3.4,13.9,8.4,7.8,9.8
05/19 05:00,5.4,12.5,5.9,10.1,13.4
05/19 05:15,9.3,13.9,8.2,10.3,10.8
05/19 05:30,1.5,14.7,8.1,9.5,9.6
05/19 05:45,21.6,15.3,7.3,12.6,10.4
05/19 06:00,9.8,15.9,7.3,11.2,11.3
05/19 06:15,28.3,15.2,7.8,13.6,8.3
05/19 06:30,26.6,17.1,8.3,11.9,8.9
05/19 06:45,25.8,15.5,5.6,13.7,11.8
05/19 07:00,25.9,13.3,7.9,13.1,12.8
05/19 07:15,30.8,14.7,6.1,14.6,10.6
05/19 07:30,36.1,14.1,6.3,12.1,8.7
05/19 07:45,44.4,15.8,6.7,13.7,12.3
05/19 08:00,32.9,17.2,6.9,14.5,9.4
05/19 08:15,38.1,15.2,5.8,17.0,12.3
05/19 08:30,49.9,16.2,7.0,17.1,11.2
05/19 08:45,59.1,15.9,9.0,15.0,10.1
05/19 09:00,46.2,17.6,9.1,17.7,8.2
05/19 09:15,53.2,15.4,8.3,16.9,6.9
05/19 09:30,68.0,16.0,10.4,16.2,7.6
05/19 09:45,87.6,15.1,8.1,16.3,10.8
05/19 10:00,81.7,14.4,9.9,18.1,6.9
05/19 10:15,86.9,15.0,9.0,18.8,8.3
05/19 10:30,85.0,17.1,11.0,17.8,11.3
