車両ID,工程名,設備ID,開始日時,終了日時,部品ロット,シフト
QV-001,車体溶接,EQ-R01,2026-08-24 08:00:00,2026-08-24 08:01:00,LOT-A,A
QV-002,車体溶接,EQ-R02,2026-08-24 08:02:00,2026-08-24 08:03:00,LOT-D,A
QV-003,車体溶接,EQ-R01,2026-08-24 08:04:00,2026-08-24 08:05:00,LOT-C,A
QV-004,車体溶接,EQ-R02,2026-08-24 08:06:00,2026-08-24 08:07:00,LOT-B,A
QV-005,車体溶接,EQ-R03,2026-08-24 08:08:00,2026-08-24 08:09:00,LOT-A,A
QV-006,車体溶接,EQ-R02,2026-08-24 08:10:00,2026-08-24 08:11:00,LOT-D,A
QV-007,車体溶接,EQ-R01,2026-08-24 08:12:00,2026-08-24 08:13:00,LOT-C,A
QV-008,車体溶接,EQ-R02,2026-08-24 08:14:00,2026-08-24 08:15:00,LOT-C,A
QV-009,車体溶接,EQ-R03,2026-08-24 08:16:00,2026-08-24 08:17:00,LOT-B,A
QV-010,車体溶接,EQ-R02,2026-08-24 08:18:00,2026-08-24 08:19:00,LOT-A,A
QV-011,車体溶接,EQ-R01,2026-08-24 08:20:00,2026-08-24 08:21:00,LOT-D,A
QV-012,車体溶接,EQ-R02,2026-08-24 08:22:00,2026-08-24 08:23:00,LOT-C,A
QV-013,車体溶接,EQ-R03,2026-08-24 08:24:00,2026-08-24 08:25:00,LOT-B,A
QV-014,車体溶接,EQ-R02,2026-08-24 08:26:00,2026-08-24 08:27:00,LOT-A,A
QV-015,車体溶接,EQ-R01,2026-08-24 08:28:00,2026-08-24 08:29:00,LOT-A,A
QV-016,車体溶接,EQ-R02,2026-08-24 08:30:00,2026-08-24 08:31:00,LOT-D,A
QV-017,車体溶接,EQ-R03,2026-08-24 08:32:00,2026-08-24 08:33:00,LOT-C,A
QV-018,車体溶接,EQ-R02,2026-08-24 08:34:00,2026-08-24 08:35:00,LOT-B,A
QV-019,車体溶接,EQ-R01,2026-08-24 08:36:00,2026-08-24 08:37:00,LOT-A,A
QV-020,車体溶接,EQ-R02,2026-08-24 08:38:00,2026-08-24 08:39:00,LOT-D,A
QV-021,車体溶接,EQ-R03,2026-08-24 08:40:00,2026-08-24 08:41:00,LOT-C,A
QV-022,車体溶接,EQ-R02,2026-08-24 08:42:00,2026-08-24 08:43:00,LOT-C,A
QV-023,車体溶接,EQ-R01,2026-08-24 08:44:00,2026-08-24 08:45:00,LOT-B,A
QV-024,車体溶接,EQ-R02,2026-08-24 08:46:00,2026-08-24 08:47:00,LOT-A,A
QV-025,車体溶接,EQ-R03,2026-08-24 08:48:00,2026-08-24 08:49:00,LOT-D,A
QV-026,車体溶接,EQ-R02,2026-08-24 08:50:00,2026-08-24 08:51:00,LOT-C,A
QV-027,車体溶接,EQ-R01,2026-08-24 08:52:00,2026-08-24 08:53:00,LOT-B,A
QV-028,車体溶接,EQ-R02,2026-08-24 08:54:00,2026-08-24 08:55:00,LOT-A,A
QV-029,車体溶接,EQ-R03,2026-08-24 08:56:00,2026-08-24 08:57:00,LOT-A,A
QV-030,車体溶接,EQ-R02,2026-08-24 08:58:00,2026-08-24 08:59:00,LOT-D,A
QV-031,車体溶接,EQ-R01,2026-08-24 09:00:00,2026-08-24 09:01:00,LOT-C,A
QV-032,車体溶接,EQ-R02,2026-08-24 09:02:00,2026-08-24 09:03:00,LOT-B,A
QV-033,車体溶接,EQ-R03,2026-08-24 09:04:00,2026-08-24 09:05:00,LOT-A,A
QV-034,車体溶接,EQ-R02,2026-08-24 09:06:00,2026-08-24 09:07:00,LOT-D,A
QV-035,車体溶接,EQ-R01,2026-08-24 09:08:00,2026-08-24 09:09:00,LOT-C,A
QV-036,車体溶接,EQ-R02,2026-08-24 09:10:00,2026-08-24 09:11:00,LOT-C,A
QV-037,車体溶接,EQ-R03,2026-08-24 09:12:00,2026-08-24 09:13:00,LOT-B,A
QV-038,車体溶接,EQ-R02,2026-08-24 09:14:00,2026-08-24 09:15:00,LOT-A,A
QV-039,車体溶接,EQ-R01,2026-08-24 09:16:00,2026-08-24 09:17:00,LOT-D,A
QV-040,車体溶接,EQ-R02,2026-08-24 09:18:00,2026-08-24 09:19:00,LOT-C,A
QV-041,車体溶接,EQ-R03,2026-08-24 09:20:00,2026-08-24 09:21:00,LOT-B,A
QV-042,車体溶接,EQ-R02,2026-08-24 09:22:00,2026-08-24 09:23:00,LOT-A,A
QV-043,車体溶接,EQ-R01,2026-08-24 09:24:00,2026-08-24 09:25:00,LOT-A,A
QV-044,車体溶接,EQ-R02,2026-08-24 09:26:00,2026-08-24 09:27:00,LOT-D,A
QV-045,車体溶接,EQ-R03,2026-08-24 09:28:00,2026-08-24 09:29:00,LOT-C,A
QV-046,車体溶接,EQ-R02,2026-08-24 09:30:00,2026-08-24 09:31:00,LOT-B,A
QV-047,車体溶接,EQ-R01,2026-08-24 09:32:00,2026-08-24 09:33:00,LOT-A,A
QV-048,車体溶接,EQ-R02,2026-08-24 09:34:00,2026-08-24 09:35:00,LOT-D,A
QV-049,車体溶接,EQ-R03,2026-08-24 09:36:00,2026-08-24 09:37:00,LOT-C,A
QV-050,車体溶接,EQ-R02,2026-08-24 09:38:00,2026-08-24 09:39:00,LOT-C,A
QV-051,車体溶接,EQ-R01,2026-08-24 09:40:00,2026-08-24 09:41:00,LOT-B,A
QV-052,車体溶接,EQ-R02,2026-08-24 09:42:00,2026-08-24 09:43:00,LOT-A,A
QV-053,車体溶接,EQ-R03,2026-08-24 09:44:00,2026-08-24 09:45:00,LOT-D,A
