VIN_NO,品番,LOT_NO
QV-001,PANEL-LF-01,LOT-A
QV-002,PANEL-LF-01,LOT-D
QV-003,PANEL-LF-01,LOT-C
QV-004,PANEL-LF-01,LOT-B
QV-005,PANEL-LF-01,LOT-A
QV-006,PANEL-LF-01,LOT-D
QV-007,PANEL-LF-01,LOT-C
QV-008,PANEL-LF-01,LOT-C
QV-009,PANEL-LF-01,LOT-B
QV-010,PANEL-LF-01,LOT-A
QV-011,PANEL-LF-01,LOT-D
QV-012,PANEL-LF-01,LOT-C
QV-013,PANEL-LF-01,LOT-B
QV-014,PANEL-LF-01,LOT-A
QV-015,PANEL-LF-01,LOT-A
QV-016,PANEL-LF-01,LOT-D
QV-017,PANEL-LF-01,LOT-C
QV-018,PANEL-LF-01,LOT-B
QV-019,PANEL-LF-01,LOT-A
QV-020,PANEL-LF-01,LOT-D
QV-021,PANEL-LF-01,LOT-C
QV-022,PANEL-LF-01,LOT-C
QV-023,PANEL-LF-01,LOT-B
QV-024,PANEL-LF-01,LOT-A
QV-025,PANEL-LF-01,LOT-D
QV-026,PANEL-LF-01,LOT-C
QV-027,PANEL-LF-01,LOT-B
QV-028,PANEL-LF-01,LOT-A
QV-029,PANEL-LF-01,LOT-A
QV-030,PANEL-LF-01,LOT-D
QV-031,PANEL-LF-01,LOT-C
QV-032,PANEL-LF-01,LOT-B
QV-033,PANEL-LF-01,LOT-A
QV-034,PANEL-LF-01,LOT-D
QV-035,PANEL-LF-01,LOT-C
QV-036,PANEL-LF-01,LOT-C
QV-037,PANEL-LF-01,LOT-B
QV-038,PANEL-LF-01,LOT-A
QV-039,PANEL-LF-01,LOT-D
QV-040,PANEL-LF-01,LOT-C
QV-041,PANEL-LF-01,LOT-B
QV-042,PANEL-LF-01,LOT-A
QV-043,PANEL-LF-01,LOT-A
QV-044,PANEL-LF-01,LOT-D
QV-045,PANEL-LF-01,LOT-C
QV-046,PANEL-LF-01,LOT-B
QV-047,PANEL-LF-01,LOT-A
QV-048,PANEL-LF-01,LOT-D
QV-049,PANEL-LF-01,LOT-C
QV-050,PANEL-LF-01,LOT-C
QV-051,PANEL-LF-01,LOT-B
QV-052,PANEL-LF-01,LOT-A
QV-053,PANEL-LF-01,LOT-D
QV-054,PANEL-LF-01,LOT-C
QV-055,PANEL-LF-01,LOT-B
QV-056,PANEL-LF-01,LOT-A
QV-057,PANEL-LF-01,LOT-A
QV-058,PANEL-LF-01,LOT-D
QV-059,PANEL-LF-01,LOT-C
QV-060,PANEL-LF-01,LOT-B
