timestamp,date_label,get_value,anomaly_score
5/1 00:00,5/1,1.0,0.3
5/1 01:00,5/1,1.02,0.3
5/1 02:00,5/1,1.14,0.32
5/1 03:00,5/1,1.46,0.37
5/1 04:00,5/1,2.18,0.47
5/1 05:00,5/1,3.24,0.62
5/1 06:00,5/1,4.35,0.78
5/1 07:00,5/1,5.81,0.99
5/1 08:00,5/1,7.49,1.23
5/1 09:00,5/1,9.47,1.51
5/1 10:00,5/1,10.31,1.63
5/1 11:00,5/1,10.94,1.72
5/1 12:00,5/1,11.02,1.73
5/1 13:00,5/1,11.66,1.82
5/1 14:00,5/1,10.57,1.67
5/1 15:00,5/1,8.99,1.44
5/1 16:00,5/1,7.23,1.19
5/1 17:00,5/1,6.47,1.08
5/1 18:00,5/1,4.58,0.81
5/1 19:00,5/1,3.11,0.6
5/1 20:00,5/1,2.11,0.46
5/1 21:00,5/1,1.5,0.37
5/1 22:00,5/1,1.14,0.32
5/1 23:00,5/1,1.01,0.3
5/2 00:00,5/2,1.0,0.3
5/2 01:00,5/2,1.02,0.3
5/2 02:00,5/2,1.17,0.32
5/2 03:00,5/2,1.58,0.39
5/2 04:00,5/2,2.57,0.53
5/2 05:00,5/2,3.92,0.73
5/2 06:00,5/2,5.08,0.91
5/2 07:00,5/2,6.85,1.17
5/2 08:00,5/2,9.75,1.6
5/2 09:00,5/2,11.76,1.89
5/2 10:00,5/2,12.17,1.95
5/2 11:00,5/2,13.94,2.22
5/2 12:00,5/2,15.54,2.45
5/2 13:00,5/2,15.06,2.38
5/2 14:00,5/2,12.91,2.06
5/2 15:00,5/2,10.64,1.73
5/2 16:00,5/2,9.76,1.6
5/2 17:00,5/2,7.73,1.3
5/2 18:00,5/2,5.52,0.97
5/2 19:00,5/2,3.69,0.7
5/2 20:00,5/2,2.52,0.53
5/2 21:00,5/2,1.67,0.4
5/2 22:00,5/2,1.17,0.33
5/2 23:00,5/2,1.02,0.3
5/3 00:00,5/3,1.0,0.3
5/3 01:00,5/3,1.01,0.3
5/3 02:00,5/3,1.12,0.32
5/3 03:00,5/3,1.41,0.35
5/3 04:00,5/3,2.04,0.44
5/3 05:00,5/3,2.81,0.54
5/3 06:00,5/3,3.88,0.68
5/3 07:00,5/3,5.53,0.9
5/3 08:00,5/3,7.15,1.12
5/3 09:00,5/3,8.04,1.24
5/3 10:00,5/3,8.2,1.26
5/3 11:00,5/3,10.0,1.5
5/3 12:00,5/3,10.73,1.6
5/3 13:00,5/3,9.53,1.44
5/3 14:00,5/3,8.67,1.32
5/3 15:00,5/3,7.93,1.22
5/3 16:00,5/3,6.93,1.09
5/3 17:00,5/3,5.3,0.87
5/3 18:00,5/3,3.64,0.65
5/3 19:00,5/3,2.8,0.54
5/3 20:00,5/3,2.06,0.44
5/3 21:00,5/3,1.42,0.36
5/3 22:00,5/3,1.11,0.31
5/3 23:00,5/3,1.01,0.3
5/4 00:00,5/4,1.0,0.3
5/4 01:00,5/4,1.02,0.3
5/4 02:00,5/4,1.15,0.32
5/4 03:00,5/4,1.55,0.39
5/4 04:00,5/4,2.21,0.5
5/4 05:00,5/4,3.2,0.66
5/4 06:00,5/4,4.69,0.9
5/4 07:00,5/4,6.56,1.21
5/4 08:00,5/4,8.18,1.48
5/4 09:00,5/4,9.13,1.63
5/4 10:00,5/4,10.28,1.82
5/4 11:00,5/4,12.64,2.2
5/4 12:00,5/4,12.5,2.18
5/4 13:00,5/4,11.09,1.95
5/4 14:00,5/4,10.51,1.86
5/4 15:00,5/4,10.13,1.79
5/4 16:00,5/4,8.24,1.49
5/4 17:00,5/4,5.75,1.08
5/4 18:00,5/4,4.67,0.9
5/4 19:00,5/4,3.4,0.69
5/4 20:00,5/4,2.27,0.51
5/4 21:00,5/4,1.47,0.38
5/4 22:00,5/4,1.14,0.32
5/4 23:00,5/4,1.02,0.3
5/5 00:00,5/5,1.0,0.3
5/5 01:00,5/5,1.02,0.3
5/5 02:00,5/5,1.14,0.32
