time,bolt1_torque_nm,bolt2_torque_nm,bolt1_angle_deg,bolt2_angle_deg
14:13:00,44.78,44.61,32.81,7.77
14:13:15,44.4,44.36,31.92,7.53
14:13:30,44.27,44.39,31.7,7.92
14:13:45,44.05,44.43,32.74,7.4
14:14:00,44.53,44.07,33.43,7.45
14:14:15,44.79,43.72,32.66,7.34
14:14:30,44.42,43.25,33.39,7.33
14:14:45,44.25,43.24,34.59,7.99
14:15:00,43.85,42.88,34.47,8.4
14:15:15,43.96,43.13,33.56,7.69
14:15:30,44.24,43.56,33.21,7.02
14:15:45,43.95,43.08,34.09,6.81
14:16:00,44.38,43.41,34.07,6.34
14:16:15,44.59,44.26,34.25,5.7
14:16:30,45.06,45.19,35.41,5.81
14:16:45,44.77,45.96,35.96,5.12
14:17:00,44.61,46.16,34.84,5.31
14:17:15,44.69,47.09,35.88,5.06
14:17:30,44.58,48.33,35.57,5.02
