time,line1,line2,line3,line4,all
00:00,85.4,75.7,87.7,77.1,88.3
00:20,88.4,77.9,86.6,75.6,89.2
00:40,90.2,81.2,87.5,72.7,91.8
01:00,88.5,79.3,85.6,71.1,92.1
01:20,84.4,78.0,82.5,75.2,89.3
01:40,81.6,80.3,85.7,73.4,89.4
02:00,80.7,79.7,85.8,72.7,91.9
02:20,80.7,78.4,87.9,72.1,93.7
02:40,84.2,77.7,86.0,70.5,91.5
03:00,86.1,80.4,82.9,73.2,91.7
03:20,87.8,79.2,82.7,75.7,90.2
03:40,85.3,82.2,81.7,79.4,90.0
04:00,81.1,83.0,80.5,82.6,93.4
04:20,81.1,79.7,80.9,82.1,95.7
04:40,82.4,80.1,82.3,84.6,93.5
05:00,84.1,77.3,83.8,84.6,92.8
05:20,84.8,77.4,84.6,83.6,91.6
05:40,83.4,80.1,85.4,85.8,91.0
06:00,80.2,79.8,86.6,88.1,92.8
06:20,78.3,79.8,88.8,84.4,89.0
06:40,79.3,80.3,91.8,81.2,87.9
07:00,82.5,79.8,93.1,84.0,87.1
07:20,79.5,80.5,92.1,87.3,88.8
07:40,82.1,81.5,91.6,85.6,89.3
08:00,82.9,82.4,92.6,84.6,90.7
08:20,82.0,81.4,95.3,82.1,86.7
08:40,81.3,81.5,92.1,82.1,84.3
09:00,81.9,77.4,89.7,83.8,85.2
09:20,83.4,75.2,89.6,81.8,87.5
09:40,84.5,72.1,88.8,79.7,83.6
10:00,82.7,75.4,89.2,82.2,86.0
10:20,84.4,75.0,89.6,82.1,83.9
10:40,83.5,73.1,89.9,82.4,86.2
11:00,84.4,73.6,91.7,83.1,84.3
11:20,87.7,76.4,92.8,85.0,83.2
11:40,89.3,77.3,91.5,83.1,82.4
12:00,90.3,77.2,87.3,84.9,84.5
12:20,92.1,79.7,86.2,83.0,85.5
12:40,90.2,79.6,88.4,81.1,82.8
13:00,90.1,78.9,88.9,80.7,83.1
13:20,91.9,75.1,89.2,80.8,85.8
13:40,90.8,77.3,86.9,79.1,85.0
14:00,92.0,80.8,86.6,81.1,84.7
14:20,90.6,78.0,85.7,81.9,84.3
14:40,87.8,80.6,82.5,82.8,82.3
15:00,87.0,81.0,83.3,83.9,83.9
15:20,88.1,77.8,84.8,81.6,85.8
15:40,86.4,81.1,81.4,78.5,89.1
16:00,84.1,78.7,82.6,77.9,89.5
16:20,83.4,76.3,84.3,80.0,87.0
16:40,82.8,80.3,84.5,79.0,87.3
17:00,85.5,82.1,84.3,80.3,85.4
17:20,87.3,83.9,81.8,82.4,87.1
17:40,84.7,86.0,84.3,78.6,87.8
18:00,83.1,87.3,81.7,76.9,88.9
18:20,79.4,88.8,85.7,75.8,88.7
18:40,80.0,88.7,84.6,74.4,89.4
19:00,82.5,88.9,87.0,73.4,90.7
19:20,81.1,86.2,85.3,76.3,92.6
19:40,83.6,87.8,83.5,75.6,93.8
20:00,82.9,88.1,83.9,78.2,89.9
20:20,79.0,88.5,83.0,77.0,89.2
20:40,79.7,82.9,84.7,77.3,88.8
21:00,81.6,80.4,87.8,80.4,89.2
21:20,79.0,77.5,87.9,78.8,89.0
21:40,80.1,78.0,88.8,81.7,89.8
22:00,77.4,77.6,90.0,80.7,88.8
22:20,80.2,75.0,93.5,83.8,88.4
22:40,78.5,77.3,91.9,85.1,90.0
23:00,76.8,79.3,91.7,83.5,87.0
23:20,79.6,78.8,92.9,87.2,88.4
23:40,82.1,75.1,93.5,85.9,88.0
24:00,85.7,72.8,92.2,86.6,89.8
