日時,設備番号,電流値,設備温度,振動値,圧力,トルク
2026-08-24 08:00:00,EQ-R01,102.57,41.93,1.0,0.606,48.57
2026-08-24 08:05:00,EQ-R01,99.41,42.02,1.118,0.607,48.43
2026-08-24 08:10:00,EQ-R01,101.64,43.62,1.143,0.605,47.66
2026-08-24 08:15:00,EQ-R01,100.09,42.67,1.06,0.609,48.45
2026-08-24 08:20:00,EQ-R01,100.2,41.79,0.971,0.601,47.66
2026-08-24 08:25:00,EQ-R01,101.46,42.84,1.099,0.612,48.1
2026-08-24 08:30:00,EQ-R01,102.19,42.63,1.119,0.602,48.54
2026-08-24 08:35:00,EQ-R01,101.42,42.86,1.098,0.626,47.78
2026-08-24 08:40:00,EQ-R01,102.75,42.08,1.064,0.601,47.91
2026-08-24 08:45:00,EQ-R01,102.57,42.57,1.148,0.591,48.43
2026-08-24 08:50:00,EQ-R01,101.61,41.62,1.056,0.61,49.03
2026-08-24 08:55:00,EQ-R01,99.84,41.7,1.195,0.606,47.78
2026-08-24 09:00:00,EQ-R01,101.11,41.13,1.115,0.6,48.53
2026-08-24 09:05:00,EQ-R01,101.0,43.6,1.12,0.621,47.22
2026-08-24 09:10:00,EQ-R01,100.87,42.23,1.222,0.597,48.59
2026-08-24 09:15:00,EQ-R01,101.65,43.07,1.15,0.61,47.69
2026-08-24 09:20:00,EQ-R01,99.63,42.14,1.087,0.626,47.63
2026-08-24 09:25:00,EQ-R01,101.35,40.9,1.072,0.612,48.49
2026-08-24 09:30:00,EQ-R01,102.59,41.97,1.022,0.614,48.31
2026-08-24 09:35:00,EQ-R01,101.54,41.51,1.179,0.611,48.42
2026-08-24 09:40:00,EQ-R01,102.4,42.43,1.12,0.627,48.15
2026-08-24 09:45:00,EQ-R01,100.67,42.08,1.204,0.611,48.31
2026-08-24 09:50:00,EQ-R01,102.32,41.64,0.979,0.612,48.14
2026-08-24 09:55:00,EQ-R01,100.33,42.61,1.143,0.602,48.31
2026-08-24 10:00:00,EQ-R01,100.78,40.96,1.132,0.61,47.55
2026-08-24 10:05:00,EQ-R01,101.58,42.34,1.06,0.613,48.61
2026-08-24 10:10:00,EQ-R01,100.22,42.27,1.1,0.628,46.88
2026-08-24 10:15:00,EQ-R01,101.76,41.79,1.093,0.625,47.99
2026-08-24 10:20:00,EQ-R01,103.47,41.69,1.125,0.606,47.59
2026-08-24 10:25:00,EQ-R01,101.07,41.8,1.114,0.593,49.2
2026-08-24 10:30:00,EQ-R01,100.82,43.22,1.03,0.612,49.9
2026-08-24 10:35:00,EQ-R01,100.04,40.95,1.062,0.614,48.42
2026-08-24 10:40:00,EQ-R01,102.42,41.82,0.988,0.607,48.74
2026-08-24 10:45:00,EQ-R01,101.51,40.63,1.098,0.621,49.28
2026-08-24 10:50:00,EQ-R01,101.62,42.22,1.013,0.603,48.03
2026-08-24 10:55:00,EQ-R01,101.55,42.41,1.067,0.601,47.53
